pl_name,disc_year,pl_orbper,pl_bmasse,pl_rade,pl_eqt,disc_facility,discoverymethod
TOI-2109 b,2021,0.67247414,1595.49860314,15.098497,3646.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1842 b,2021,9.5739181,89.4,12.3485023,1199.55,Transiting Exoplanet Survey Satellite (TESS),Transit
HATS-74 A b,2021,1.73185606,464.02947422,11.56766808,895.1,HATSouth,Transit
HATS-75 b,2021,2.7886556,156.05374784,9.90873894,772.3,HATSouth,Transit
HATS-76 b,2021,1.9416423,835.570882,12.09449018,939.8,HATSouth,Transit
HATS-77 b,2021,3.0876262,436.69623122,13.05846252,828.3,HATSouth,Transit
Kepler-1708 b,2021,737.1131,1462.0106722,9.96,,Kepler,Transit
Kepler-1705 c,2021,11.28,5.42,2.05,,Kepler,Transit
HD 360 b,2021,273.1,238.37130525,,,Okayama Astrophysical Observatory,Radial Velocity
HD 10975 b,2021,283.8,143.02278315,,,Okayama Astrophysical Observatory,Radial Velocity
HD 79181 b,2021,273.1,203.41018048,,,Okayama Astrophysical Observatory,Radial Velocity
HD 99283 b,2021,310.4,308.29355479,,,Okayama Astrophysical Observatory,Radial Velocity
ups Leo b,2021,385.2,162.09248757,,,Okayama Astrophysical Observatory,Radial Velocity
HD 161178 b,2021,279.3,181.16219199,,,Okayama Astrophysical Observatory,Radial Velocity
HD 219139 b,2021,275.5,247.90615746,,,Okayama Astrophysical Observatory,Radial Velocity
gam Psc b,2021,555.1,425.89006538,,,Okayama Astrophysical Observatory,Radial Velocity
HIP 5763 b,2021,30.014,162.09248757,,,Cerro Tololo Inter-American Observatory,Radial Velocity
HIP 34222 b,2021,159.986,263.79757781,,,Cerro Tololo Inter-American Observatory,Radial Velocity
HIP 86221 b,2021,2.224,225.65816897,,,Cerro Tololo Inter-American Observatory,Radial Velocity
TOI-2180 b,2022,260.79,875.61726129,11.32107051,348.0,Transiting Exoplanet Survey Satellite (TESS),Transit
LTT 1445 A c,2022,3.1239035,1.54,1.147,508.0,Transiting Exoplanet Survey Satellite (TESS),Transit
b Cen AB b,2021,1790000.0,3464.3296363,,,Paranal Observatory,Imaging
TOI-1064 b,2022,6.443868,13.5,2.587,784.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1064 c,2022,12.226574,2.5,2.651,634.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 22532 b,2022,872.6,673.79622284,,,La Silla Observatory,Radial Velocity
HD 64121 b,2022,623.0,813.64072192,,,La Silla Observatory,Radial Velocity
HD 69123 b,2022,1193.3,966.19835728,,,La Silla Observatory,Radial Velocity
TOI-2184 b,2022,6.90683,206.58846455,11.39953337,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1268 b,2022,8.1577094,96.4,9.1,918.9,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-2337 b,2022,2.99432,508.5254512,10.08808263,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-4329 b,2022,2.9223,143.02278315,16.81347105,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-2669 b,2022,6.2034,193.87532827,19.72780603,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-500 b,2022,0.548177,1.42,1.166,1617.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-544 b,2022,1.548352,2.89,2.018,999.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1075 b,2022,0.6047328,9.95,1.791,1323.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1411 b,2022,1.4520527,2.0,1.19880592,976.4,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 3929 b,2022,2.616235,1.75,1.09,568.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1759 b,2022,18.85019,10.8,3.14,443.0,Transiting Exoplanet Survey Satellite (TESS),Transit
WASP-189 b,2020,2.724033,632.47852993,18.14733975,3353.0,CHaracterising ExOPlanets Satellite (CHEOPS),Transit
HD 73583 b,2022,6.398042,10.2,2.79,714.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 73583 c,2022,18.87974,9.7,2.39,498.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1670 b,2022,10.98462,41.31769291,2.06,1062.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1670 c,2022,40.74976,200.23189641,11.06326395,684.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 191939 e,2022,101.12,112.2,,390.0,W. M. Keck Observatory,Radial Velocity
HD 191939 f,2022,2898.0,915.34581216,,,W. M. Keck Observatory,Radial Velocity
GJ 514 b,2022,140.43,5.2,,202.0,Multiple Observatories,Radial Velocity
Kepler-451 c,2022,1460.0,511.70373527,,,Multiple Observatories,Eclipse Timing Variations
Kepler-451 d,2022,43.0,559.37799632,,,Multiple Observatories,Eclipse Timing Variations
pi Men d,2022,124.64,13.38,,,La Silla Observatory,Radial Velocity
TYC 2187-512-1 b,2022,691.9,104.88337431,,,Calar Alto Observatory,Radial Velocity
iot Dra c,2021,25000.0,4958.1231492,,,La Silla Observatory,Radial Velocity
TOI-1246 b,2022,4.30744,8.1,3.01,955.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1246 c,2022,5.904137,9.1,2.45109846,862.49,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1246 d,2022,18.654874,5.4,3.43139739,587.77,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1246 e,2022,37.92548,14.5,3.5141875,463.98,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1696 b,2022,2.500311,48.8,3.09,489.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-2136 b,2022,7.851928,6.37,2.19,395.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 94235 b,2022,7.713057,379.0,3.0,1060.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1710 b,2022,24.283377,22.4,5.20315158,602.99,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 103891 b,2022,1919.0,457.67290608,,,La Silla Observatory,Radial Velocity
HD 105779 b,2022,2412.0,203.41018048,,,La Silla Observatory,Radial Velocity
TOI-500 c,2022,6.6356,5.03,,,La Silla Observatory,Radial Velocity
TOI-500 d,2022,26.233,33.12,,,La Silla Observatory,Radial Velocity
TOI-500 e,2022,61.3,15.05,,,La Silla Observatory,Radial Velocity
TOI-1181 b,2022,2.103189,374.71969185,17.02644168,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1516 b,2022,2.056014,1004.33776612,15.24421375,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-2046 b,2022,1.4971842,731.0053361,16.14093221,,Transiting Exoplanet Survey Satellite (TESS),Transit
WASP-132 c,2022,1.01153624,6.26,1.841,1329.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-1656 c,2022,1919.0,126.4,,,W. M. Keck Observatory,Radial Velocity
Gaia-1 b,2022,3.052524,533.95172376,13.77583728,,European Space Agency (ESA) Gaia Satellite,Transit
Gaia-2 b,2022,3.6915224,259.66580852,14.81827249,,European Space Agency (ESA) Gaia Satellite,Transit
TOI-1107 b,2022,4.0782387,1064.72516345,14.57167491,1728.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Ross 508 b,2022,10.77,4.0,,,Subaru Telescope,Radial Velocity
HD 83443 c,2022,8241.0,476.7426105,,,Multiple Observatories,Radial Velocity
HD 28109 b,2022,22.891054,6.2,2.69,867.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 28109 c,2022,55.99712,9.2,4.13,643.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 28109 d,2022,84.2899,5.8,3.11,561.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 260655 b,2022,2.76953,2.14,1.24,709.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 260655 c,2022,5.70588,3.09,1.533,557.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 33142 d,2022,89.9,63.5656814,,,Multiple Observatories,Radial Velocity
HD 19615 b,2022,402.0,2701.5414595,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 150010 b,2022,562.0,762.7881768,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
HD 174205 b,2022,582.0,1334.8793094,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
TOI-3714 b,2022,2.154849,222.4798849,11.32107051,750.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-3629 b,2022,3.936551,82.63538582,8.29464572,690.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1272 b,2022,3.31599,27.0,4.13204907,975.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1272 c,2022,8.6811,21.7,,,W. M. Keck Observatory,Radial Velocity
KOI-984 c,2022,21.512,209.8,,597.0,Kepler,Transit Timing Variations
TOI-5153 b,2022,20.33003,1036.12060682,11.88151954,906.0,Transiting Exoplanet Survey Satellite (TESS),Transit
NGTS-20 b,2022,54.18915,947.12865286,11.99360935,688.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 21152 b,2022,22000.0,7627.881768,,1300.0,Multiple Observatories,Imaging
TOI-1422 b,2022,12.99894,9.5,3.83,870.0,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 3512 c,2020,2354.0,143.97626837,,,Multiple Observatories,Radial Velocity
CoRoT-7 d,2022,8.966,17.142,,,La Silla Observatory,Radial Velocity
CoRoT-35 b,2022,3.22748,349.6112477,18.83108758,1747.0,CoRoT,Transit
CoRoT-36 b,2022,5.616531,216.12331676,15.80466279,1567.0,CoRoT,Transit
GJ 3929 c,2022,15.04,5.71,,317.0,Multiple Observatories,Radial Velocity
HD 93963 A b,2022,1.0376109,2.8,1.46954368,1842.23,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 93963 A c,2022,3.6451389,18.4,3.11976057,1212.45,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-18 c,2011,7.64159,17.3,5.49,,Kepler,Transit
TOI-159 b,2026,3.7628396,1110.0,18.18,1891.0,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 3090 b,2022,2.85310198,4.52,2.18,723.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 18599 b,2022,4.1374354,24.1,2.6,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-181 b,2023,4.532,46.1687,6.9559,895.1,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-199 b,2023,104.854,54.03082919,9.07927437,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-238 b,2024,1.273099,3.37,1.559,1378.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-244 b,2023,7.397225,2.68,1.52,458.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-260 b,2024,13.475853,4.23,1.71,493.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 8152 b,2023,10.751014,8.9,2.53625843,794.96,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 8152 c,2023,19.60562,10.7,2.52442508,650.68,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-283 b,2025,17.61745,6.54,2.34,661.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-286 b,2024,4.5117244,4.53,1.42,979.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-286 c,2024,39.361826,3.72,1.88,475.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-329 b,2024,5.70439,40.4,4.94057819,1213.02,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-332 b,2023,0.777038,57.2,3.2,1871.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-333 b,2025,3.7852503,20.1,4.26,1445.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-432 b,2015,52.501129,1719.4603,12.834305,,Kepler,Transit
TOI-375 b,2026,9.45469,236.78216321,10.77183045,1373.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-406.01,2024,13.175682,6.57,2.08,368.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-406 c,2024,3.307441,2.08,1.32,584.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-411 c,2022,9.573083,9.72,2.328,931.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-411 b,2022,4.040295,13.71,1.362,1241.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-469.01,2021,13.6308205,9.1,3.41,716.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-480 b,2024,6.866196,20.8,2.85372018,1198.94,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-512 b,2025,7.18886,3.57,1.54,1009.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-521 b,2025,1.54285047,5.3,1.98,794.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 25463 b,2023,7.0491423,8.7,2.54535814,1198.46,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 25463 c,2023,3.04405,4.3,1.36354953,1585.57,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-615 b,2023,4.6615983,138.25535705,18.97680433,1666.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-622 b,2023,6.402513,96.30200732,9.2362001,1388.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-282 d,2013,24.806,61.0,2.46,,Kepler,Transit
TOI-654.01,2024,1.527561,8.71,2.378,794.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-663 b,2024,2.598902,4.45,2.27,674.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-663 c,2024,4.6955507,3.65,2.26,553.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-663 d,2024,7.1027268,5.2,1.92,482.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-669 b,2023,3.945152,10.0,2.58606487,1124.85,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-672 b,2023,3.633581,50.9,5.31,699.5,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-57 b,2012,5.72,25.06,3.135,,Kepler,Transit
TOI-733 b,2023,4.884765,5.72,1.992,1055.8,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-756 b,2025,1.2392495,9.83,2.81,934.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-757 b,2024,17.46819,10.5,2.5,641.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-762 A b,2024,3.4716826,79.77493016,8.33948164,555.4,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-771 b,2024,2.3260155,2.47,1.36,543.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-778 b,2023,4.633611,878.0,15.4,1561.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-782 b,2024,8.0240015,19.1,2.734,435.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-784 b,2023,2.7970365,9.67,1.93,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-815 b,2024,11.197259,7.6,2.94,686.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-836.01,2021,8.59545,9.6,2.587,665.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-836 b,2023,3.81673,4.53,1.704,871.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-858 B b,2023,3.2797178,349.6112477,14.06727078,1529.0,Transiting Exoplanet Survey Satellite (TESS),Transit
KOI-1257 b,2014,86.647661,460.83,10.54,511.0,Kepler,Transit
TOI-908 b,2023,3.183792,16.137,3.186,1317.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-912 b,2025,4.6780691,5.1,1.93,551.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-969 b,2022,1.8237305,9.1,2.765,941.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1011 b,2025,2.470498,4.04,1.45,,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-56 c,2012,21.40239,181.0,9.8,,Kepler,Transit
TOI-1052 b,2023,9.139703,16.9,2.87,1135.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1080 b,2026,3.9652482,10.7,1.2,368.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-279 c,2013,35.736,49.4,4.3,,Kepler,Transit
TOI-1117 b,2025,2.22816,8.9,2.46,1538.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1135 b,2024,8.0277327,58.79825529,9.91994792,1171.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1136 d,2022,12.5199,8.35,,843.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1136 c,2022,6.2574,6.32,,1062.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1136 f,2022,26.321,9.7,,658.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1136 e,2022,18.801,6.07,,737.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1173 b,2024,7.06466,27.4,9.19,868.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1194 b,2023,2.3106446,120.0,8.71664516,1264.29,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1199 b,2024,3.671463,75.96098927,10.5140239,1486.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1203.01,2021,25.502672,7.39,2.918,743.6,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-44 b,2011,3.2467293,317.82,12.22,1544.0,Kepler,Transit
TOI-1221 b,2023,91.68278,1112.3994245,2.91,440.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1232 b,2026,14.256,220.57291446,10.92875618,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1238 c,2022,3.294736,8.32,2.11,695.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1238 b,2022,0.764597,3.76,1.21,1133.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1243 b,2026,4.6594779,7.7,2.33,450.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1248 b,2024,4.3601561,27.4,6.8084859,952.09,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1249 b,2024,13.079151,11.9,3.2710301,726.89,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1269 b,2024,4.2529913,6.4,2.40144286,1004.9,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1273 b,2024,4.631296,70.55790635,11.09689089,1211.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-278 b,2014,30.1556,56.0,3.955,586.0,Kepler,Transit
TOI-1279 b,2024,9.61419,10.6,2.66146528,759.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1288 b,2022,2.6998279,44.1,4.96846551,1203.44,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1294 b,2024,3.915292,63.9,10.12369881,1392.74,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1295 b,2024,3.1968838,451.31633794,15.69257298,2360.0,Transiting Exoplanet Survey Satellite (TESS),Transit
Kepler-277 b,2013,17.324,87.3,2.92,,Kepler,Transit
TOI-1347 b,2024,0.84742346,11.1,1.8,1400.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1347 c,2024,4.841962,6.4,1.6,1000.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1386 b,2024,25.8401,45.8,6.2163865,615.03,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1408 b,2023,4.42587,593.0,25.0,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1410.01,2024,1.21687,12.5,3.10083009,1236.7,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1416 b,2023,1.0697568,3.48,1.62,1517.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1420 b,2023,6.9561063,25.1,11.89,957.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HD 235088 b,2023,7.4341325,4.15,1.982,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1437 b,2024,18.840942,9.6,2.24,,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1438 b,2025,5.13967,9.4,3.04,971.0,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1438 c,2025,9.428089,10.6,2.75,794.0,Transiting Exoplanet Survey Satellite (TESS),Transit
